Timestamp,UpdateIdx,ActualDepth_mm,PredDepth_mm,Error_mm
2026-06-05 16:37:30.443,41,0.00,0.00,0.00
2026-06-05 16:37:31.546,42,0.00,14.56,-14.56
2026-06-05 16:37:35.549,43,0.00,8.08,-8.08
2026-06-05 16:37:36.652,44,0.00,0.59,-0.59
2026-06-05 16:37:38.654,45,0.00,1.03,-1.03
2026-06-05 16:37:40.657,46,0.00,0.94,-0.94
2026-06-05 16:37:41.759,47,0.00,0.45,-0.45
2026-06-05 16:37:43.762,48,0.00,0.53,-0.53
2026-06-05 16:37:45.764,49,0.00,0.32,-0.32
2026-06-05 16:37:54.974,50,0.00,2.51,-2.51
2026-06-05 16:38:04.184,51,0.00,0.10,-0.10
2026-06-05 16:38:07.288,52,0.00,0.00,0.00
2026-06-05 16:38:11.294,53,0.00,0.06,-0.06
2026-06-05 16:38:13.397,54,0.00,0.08,-0.08
2026-06-05 16:38:49.134,55,0.00,0.42,-0.42
