Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredHeight_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,PredError_mm
2026-05-06 17:32:55.763,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:32:56.764,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:32:57.765,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:32:58.766,0.005,0.011,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:32:59.767,0.005,0.011,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:00.767,0.005,0.011,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:01.768,0.005,0.011,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:02.771,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:03.772,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:04.773,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:05.775,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:06.776,0.005,0.011,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:07.777,0.005,0.011,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:08.778,0.000,0.011,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:09.779,0.000,0.016,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:10.779,0.000,0.016,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:11.780,0.000,0.016,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:12.781,0.000,0.016,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:13.782,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:14.783,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:15.784,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:16.785,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:17.786,0.005,0.022,-149.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:18.788,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:19.789,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
2026-05-06 17:33:20.789,0.005,0.016,-150.00,0.00,-1.00,-1,-1,0.00
