Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredDepth_mm,ActualHeight_mm,TargetDepth_mm,CmdHeight_mm,DepthError_mm
2026-05-14 16:47:23.280,0.494,21.583,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:47:24.281,0.500,21.583,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:47:25.283,0.500,21.583,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:47:26.284,0.494,21.588,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:47:27.285,0.494,21.572,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:47:28.286,0.489,21.577,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:47:29.287,0.483,21.577,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:47:30.289,0.483,21.577,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:47:31.291,0.483,21.577,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:47:32.293,0.483,21.577,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:47:33.293,0.483,21.577,0.00,NaN,NaN,-1,-1,NaN
2026-05-14 16:47:34.294,0.489,21.577,0.00,NaN,NaN,-1,-1,NaN
