Timestamp,Beta(deg),Alpha(deg),Depth_mm,PredDepth_mm,Speed_km/h,TargetDepth_mm,CmdHeight_mm,DepthError_mm,SoilHardness_MPa,SoilHardness_x_Depth
2026-05-19 15:45:11.901,0.527,1.489,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 15:45:12.903,0.527,1.489,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 15:45:13.903,0.527,1.489,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 15:45:14.904,0.527,1.489,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 15:45:15.905,0.527,1.494,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 15:45:16.906,0.527,1.489,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 15:45:17.908,0.527,1.489,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 15:45:18.910,0.527,1.489,0.00,NaN,6.00,-1,-1,NaN,2.50,0.00
2026-05-19 15:45:19.911,0.527,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:20.912,0.527,1.483,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:21.913,0.527,1.483,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:22.914,0.527,1.483,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:23.914,0.527,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:24.915,0.527,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:25.917,0.533,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:26.917,0.527,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:27.919,0.527,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:28.920,0.527,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:29.921,0.533,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:30.921,0.533,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:31.923,0.538,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:32.924,0.538,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:33.925,0.538,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:34.926,0.538,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:35.927,0.538,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:36.927,0.533,1.478,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:37.928,0.533,1.483,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:38.930,0.533,1.483,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:39.931,0.533,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:40.932,0.533,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:41.932,0.533,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:42.933,0.533,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:43.934,0.533,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:44.935,0.533,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:45.936,0.533,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:46.937,0.533,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:47.938,0.533,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:48.939,0.533,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:49.940,0.533,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:50.941,0.533,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:51.942,0.533,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:52.943,0.538,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:53.944,0.538,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:54.944,0.538,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:55.946,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:56.946,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:57.947,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:58.949,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:45:59.950,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:00.951,0.544,1.511,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:01.952,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:02.953,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:03.954,0.538,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:04.957,0.538,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:05.957,0.533,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:06.958,0.533,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:07.959,0.538,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:08.960,0.538,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:09.961,0.538,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:10.962,0.538,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:11.963,0.544,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:12.964,0.538,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:13.965,0.538,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:14.966,0.544,1.511,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:15.967,0.544,1.511,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:16.968,0.544,1.511,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:17.969,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:18.970,0.544,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:19.971,0.538,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:20.972,0.533,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:21.974,0.538,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:22.975,0.538,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:23.975,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:24.976,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:25.977,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:26.979,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:27.980,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:28.981,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:29.983,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:30.984,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:31.985,0.538,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:32.985,0.544,1.511,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:33.986,0.544,1.511,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:34.988,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:35.989,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:36.990,0.538,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:37.992,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:38.993,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:39.993,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:40.995,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:41.996,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:42.996,0.544,1.511,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:43.997,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:44.998,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:45.999,0.538,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:47.001,0.538,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:48.001,0.538,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:49.002,0.538,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:50.004,0.538,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:51.004,0.538,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:52.005,0.538,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:53.007,0.538,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:54.008,0.538,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:55.009,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:56.010,0.538,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:57.011,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:58.012,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:46:59.014,0.544,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:00.014,0.544,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:01.015,0.544,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:02.017,0.549,1.511,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:03.018,0.560,1.505,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:04.022,0.555,1.483,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:05.023,0.544,1.483,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:06.023,0.538,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:07.024,0.533,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:08.026,0.533,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:09.027,0.533,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:10.028,0.527,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:11.029,0.527,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:12.031,0.527,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:13.032,0.533,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:14.034,0.533,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:15.035,0.538,1.494,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:16.035,0.538,1.500,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:17.037,0.544,1.489,0.00,0.0,6.00,100,50,0.0,2.50,0.00
2026-05-19 15:47:18.037,0.544,1.483,0.00,0.0,6.00,100,50,0.0,2.50,0.00
