Timestamp,Beta(deg),Alpha(deg),Depth_mm,Stability_percentPredDepth_mm,Speed_km/h,TargetDepth_mm,CmdHeight_percent,DepthError_mm,SoilHardness_MPa,SoilHardness_x_Depth
2026-06-05 16:50:44.275,38.090,0.571,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:50:45.277,38.084,0.566,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:50:46.278,38.084,0.566,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:50:47.279,38.079,0.566,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:50:48.280,38.090,0.549,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:50:49.281,-0.483,0.544,531.00,100NaN,6.00,-1,-1.0,NaN,2.50,1327.50
2026-06-05 16:50:50.283,19.479,0.555,262.00,100NaN,6.00,-1,-1.0,NaN,2.50,655.00
2026-06-05 16:50:51.284,46.077,0.522,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:50:52.284,43.083,0.522,0.00,100NaN,6.00,-1,-1.0,NaN,2.50,0.00
2026-06-05 16:50:53.301,43.286,0.522,0.00,10072.5,6.00,-1,-1.0,-72.5,2.50,0.00
2026-06-05 16:50:54.302,43.418,0.516,0.00,10072.5,6.00,-1,-1.0,-72.5,2.50,0.00
2026-06-05 16:50:55.302,43.467,0.511,0.00,10072.5,6.00,-1,-1.0,-72.5,2.50,0.00
2026-06-05 16:50:56.303,43.489,0.522,0.00,10072.5,6.00,-1,-1.0,-72.5,2.50,0.00
2026-06-05 16:50:57.305,43.506,0.522,0.00,1000.0,6.00,-1,-1.0,0.0,2.50,0.00
2026-06-05 16:50:58.305,43.511,0.522,0.00,1000.0,6.00,-1,-1.0,0.0,2.50,0.00
2026-06-05 16:50:59.307,43.517,0.527,0.00,1000.0,6.00,-1,-1.0,0.0,2.50,0.00
2026-06-05 16:51:00.308,43.517,0.522,0.00,1000.0,6.00,-1,-1.0,0.0,2.50,0.00
2026-06-05 16:51:01.309,43.522,0.522,0.00,1000.0,6.00,-1,-1.0,0.0,2.50,0.00
2026-06-05 16:51:02.310,43.522,0.522,0.00,1000.0,6.00,-1,-1.0,0.0,2.50,0.00
2026-06-05 16:51:03.311,43.522,0.527,0.00,1000.0,6.00,-1,-1.0,0.0,2.50,0.00
2026-06-05 16:51:04.312,43.517,0.527,0.00,1000.0,6.00,-1,-1.0,0.0,2.50,0.00
2026-06-05 16:51:05.313,43.517,0.527,0.00,1000.0,6.00,-1,-1.0,0.0,2.50,0.00
2026-06-05 16:51:06.315,43.522,0.522,0.00,1000.0,6.00,-1,-1.0,0.0,2.50,0.00
2026-06-05 16:51:07.316,43.528,0.527,0.00,1000.0,6.00,-1,-1.0,0.0,2.50,0.00
2026-06-05 16:51:08.317,43.528,0.533,0.00,1000.0,6.00,-1,-1.0,-0.0,2.50,0.00
2026-06-05 16:51:09.319,43.528,0.533,0.00,1000.0,6.00,-1,-1.0,-0.0,2.50,0.00
2026-06-05 16:51:10.320,43.533,0.533,0.00,1000.0,6.00,-1,-1.0,0.0,2.50,0.00
2026-06-05 16:51:11.321,43.528,0.533,0.00,1000.0,6.00,-1,-1.0,-0.0,2.50,0.00
2026-06-05 16:51:12.323,43.539,0.533,0.00,1000.0,6.00,-1,-1.0,0.0,2.50,0.00
2026-06-05 16:51:13.324,43.539,0.527,0.00,1000.0,6.00,-1,-1.0,0.0,2.50,0.00
2026-06-05 16:51:14.325,43.539,0.527,0.00,1000.0,6.00,-1,-1.0,0.0,2.50,0.00
2026-06-05 16:51:15.327,43.533,0.522,0.00,1000.0,6.00,-1,-1.0,-0.0,2.50,0.00
2026-06-05 16:51:16.329,43.528,0.522,0.00,1000.0,6.00,-1,-1.0,-0.0,2.50,0.00
2026-06-05 16:51:17.330,43.528,0.516,0.00,1000.0,6.00,-1,-1.0,-0.0,2.50,0.00
2026-06-05 16:51:18.331,43.522,0.522,0.00,1000.0,6.00,-1,-1.0,-0.0,2.50,0.00
